문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기,가장 큰 카테고리,값,카테고리,빈도 수,가장 큰 카테고리.1,값.1,가장 많은 장소
서울시립 남서울미술관,0.6088573,0.6408792,0.8447937,0.86242837,0.8853468,0.8869426,0.8820204,0.7873447,영화 관람,0.8869426,,,영화 관람,0.8869426,145.0
관악구민종합체육센터,0.5736948,0.57727784,0.70359623,0.71453357,0.7160297,0.7109076,0.7254604,0.68086934,대중 공연,0.7254604,,,대중 공연,0.7254604,10.0
관악문화관,0.5481222,0.5686041,0.74003935,0.7270584,0.7181571,0.7324784,0.72079873,0.6754456,음악 및 무용 발표회,0.74003935,,,음악 및 무용 발표회,0.74003935,4.0
관악청소년센터,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,,,영화 관람,0.8676743,145.0
관악구청,0.6177542,0.65594524,0.8594701,0.8801713,0.8972652,0.9042324,0.89765394,0.80402476,영화 관람,0.9042324,,,영화 관람,0.9042324,145.0
관악어린이창작놀이터,0.6135928,0.64101875,0.83796275,0.84206444,0.8688437,0.87552357,0.8622624,0.8031462,영화 관람,0.87552357,,,영화 관람,0.87552357,145.0
신림다목적체육센터,0.5736948,0.57727784,0.70359623,0.71453357,0.7160297,0.7109076,0.7254604,0.68086934,대중 공연,0.7254604,,,대중 공연,0.7254604,10.0
서울대학교 미술관,0.61827743,0.64885545,0.8551244,0.88209283,0.8992762,0.9030953,0.8966616,0.8020747,영화 관람,0.9030953,,,영화 관람,0.9030953,145.0
극장작당모의,0.6159354,0.6665373,0.8187849,0.83488613,0.8455364,0.8740405,0.83795035,0.7802119,영화 관람,0.8740405,,,영화 관람,0.8740405,145.0
서울시 관악복합평생교육센터,0.5801495,0.6152848,0.8344079,0.8522493,0.8777561,0.8810855,0.8716932,0.7776044,영화 관람,0.8810855,,,영화 관람,0.8810855,145.0
